Publisher,Vendor,Also Tag,
Cursed Morsels Press,Ingram,keepingram,
Da Capo Press,Hachette,,
Dafina Books,Penguin Random House,,
Dark Horse Books,Penguin Random House,,
Dark Horse Manga,Penguin Random House,,
Dark House Press,Penguin Random House,,
Dark Matter Ink,Ingram,keepingram,
Dark Matter Magazine,Ingram,keepingram,
Dark Regions Press,Ingram,keepingram,
Darklit Press,Ingram,keepingram,
David C Cook,Ingram,keepingram,
David\Crosby#& Carl Gottlieb,Ingram-PI,,
David Zwirner Books,Simon & Schuster,,
David Zwirner Books/Fraenkel Gallery,Simon & Schuster,,
Daw Books,Penguin Random House,,
Dayspring,Ingram,keepingram,
DC Black Label,Penguin Random House,,
DC Comics,Penguin Random House,,
Deadite Press,Ingram,keepingram,
Death's Head Press,IPG,,
Debate,Penguin Random House,,
Debolsillo,Penguin Random House,,
Dedalus Limited,SCB,,
Deicide Press,Ingram,keepingram,
Del Rey Books,Penguin Random House,,
Delacorte Press,Penguin Random House,,
Dell,Penguin Random House,,
Delmonico Books,DAP-Artbook,,
Delphinium Books,IPS,,
Dennis Vogel,Ingram,keepingram,
Design Originals,Ingram,keepingram,
Destiny Books,Ingram,keepingram,
DeVault-Graves Agency,Ingram,keepingram,
Dey Street Books,HarperCollins,,
Dial Press,Penguin Random House,,
Disinformation Company,Ingram,keepingram,
Disney Editions,Penguin Random House,,
Disney Hyperion,Penguin Random House,,
Disney Lucasfilm Press,Penguin Random House,,
Disney Manga,IPG,keepingram,
Disney Press,Penguin Random House,,
Disruption Books,IPG,keepingram,
Dissonant Hum,Ingram,keepingram,
DK Eyewitness Travel,Penguin Random House,,
DK Publishing,Penguin Random House,,
DK Publishing (Dorling Kindersley),Penguin Random House,,
Dokument Forlag,SCB,ingram,
Doom Fiction,Ingram-PI,,
Dorrance Publishing Co.,Ingram,keepingram,
Doubleday Books,Penguin Random House,,
Dover Publications,Ingram,keepingram,
Drag City,IPG,,
Drago,ACC Art Books,,
Drawn & Quarterly,Macmillan,,
Dread Farthing,Ingram,keepingram,
Drew's Bookstore,Ingram,keepingram,
DSTLRY Media,Diamond,ingram,
Duke University Press,Ingram-PI,,
Duomo Ediciones,Ingram,keepingram,
Dutton,Penguin Random House,,
Dutton Books for Young Readers,Penguin Random House,,
Dynamite Entertainment,Diamond,ingram,
Earth Island Books,Ingram-PI,,
Ebury Press,IPG,,
Ecco Press,HarperCollins,,
ECW Press,Simon & Schuster,,
Ediciones B,Penguin Random House,,
Editorial Alma,IPG,ingram,
Editorial Anagrama,Ingram,keepingram,
Edward White,Ingram-PI,,
Ember,Penguin Random House,,
Encantos,Macmillan,,
Encyclopocalypse Publications,Ingram,keepingram,
Entangled Publishing,Macmillan,,
Entangled: Amara,Macmillan,,
Entangled: Red Tower Books,Macmillan,,
Epic Ink Books,Hachette,,
Eraserhead Press,Ingram-PI,,
Erewhon Books,Penguin Random House,,
Eric Larocca,Ingram,keepingram,
Europa Editions,,,
Everyman's Library,Penguin Random House,,
Excelsior Editions/State University of New York Press,Ingram,keepingram,
Exotic Publisher,Ingram,keepingram,
Experiment,Norton,,
Eye of Newt Books,IPS,keepips,
FAB Press,SCB,ingram,
Faber & Faber,Macmillan,,
Fair Winds Press (MA),Hachette,,
Fairlight Books,IPG,,
Fairwood Press LLC,Ingram-PI,keepingram,
Faithwords,Hachette,,
Familius,Abrams,keepingram,
Fantagraphics Books,Norton,,
Fantasy and Horror Classics,Ingram-PI,,
Fantoons,Simon & Schuster,,
"Farrar, Straus and Giroux",Macmillan,,
Farshore,HarperCollins,,
Feathered Tentacle Press,Ingram,keepingram,
Feiwel & Friends,Macmillan,,
Feral House,IPS,keepips,
Fingerprint! Publishing,IPG,,
Firebird Creative LLC,Ingram,keepingram,
Firefly Books,Ingram,keepingram,
First Second,Macmillian,,
Flame Tree 451,Simon & Schuster,,
Flame Tree Collections,Simon & Schuster,,
Flame Tree Gift,Simon & Schuster,,
Flame Tree Illustrated,Simon & Schuster,,
Flame Tree Press,Simon & Schuster,,
Flame Tree Publishing,Simon & Schuster,,
Flammarion-Pere Castor,Penguin Random House,,
Flatiron Books,Macmillan,,
Fleming H. Revell Company,Ingram,keepingram,
Flesk Publications,IPS,keepips,
Flex Your Head Press,Ingram,keepingram,
Flux,Ingram,keepingram,
Focus,Hackett,noingram,
Footnote Press,Simon & Schuster,,
For Dummies,Ingram,keepingram,
Foreedge,Ingram,,
Forefront Books,Simon & Schuster,,
Forever,Hachette,,
Forge,Macmillan,,
Fortress Press,IPG,,
Four Way Books,Ingram,keepingram,
Fourth Estate,HarperCollins,,
Foxhall Press,Ingram,keepingram,
Frances Lincoln,Hachette,,
Free Press,Simon & Schuster,,
FSG Adult,Macmillan,,
FSG Originals,Macmillan,,
Fulcrum Publishing,IPG,,
G Letters,NBN,ingram,
G.P. Putnam's Sons,Penguin Random House,,
Gallery / Saga Press,Simon & Schuster,,
Gallery Books,Simon & Schuster,,
Gallery/13a,Simon & Schuster,,
Gallery/Scout Press,Simon & Schuster,,
Games Workshop,Simon & Schuster,,
"Gamut, Inc.",Ingram,keepingram,
Garden Path,Ingram,keepingram,
Gateway,Hachette,,
Gemini Press (NY),Simon & Schuster,,
Ghastling,Ingram-PI,,
Ghost Ship,Penguin Random House,,
Ghoulish Books,Ingram,keepingram,
Gibbs Smith,Ingram,keepingram,
Gill Books,Ingram,keepingram,
Gingko Press,IPS,keepips,
Glessner House,Ingram,keepingram,
Godwin Books,Macmillan,,
Golden Books,Penguin Random House,,
Golden Sufi Center,IPG,,
Gollancz,Penguin Random House,,
Gran Travesia,IPG,keepingram,
Grand Central Publishing,Hachette,,
Graphia Books,HarperCollins,,
Graphix,Ingram,keepingram,
Graydon House,HarperCollins,,
Graymalkin Media,Ingram,keepingram,
Graywolf Press,Macmillan,,
Greenleaf Book Group Press,Ingram,keepingram,
Greenwillow Books,HarperCollins,,
Griffin,Macmillan,,
Grijalbo,Penguin Random House,,
Grosset & Dunlap,Penguin Random House,,
Grove Press,IPS,keepips,
Guernica Editions,IPG,keepingram,
Guinness,Macmillan,,
Guinness World Records,Macmillan,,
Hachette Books,Hachette,,
Hachette Go,Hachette,,
Hackett Publishing Company,Hackett,,
Haikasoru,Simon & Schuster,,
Hailey Carlton,Ingram,keepingram,
Hamlyn (UK),Hachette,,
Hampton Roads Publishing Company,Red Wheel/Weiser,ingram,
Hanover Square Press,HarperCollins,,
Hard Case Crime,Penguin Random House,,
Hardie Grant Books,Chronicle,,
Harmony,Penguin Random House,,
Harper,HarperCollins,,
Harper Paperbacks,HarperCollins,,
Harper Perennial,HarperCollins,,
Harper Voyager,HarperCollins,,
HarperCollins,HarperCollins,,
HarperCollins Espanol,HarperCollins,,
Harpernorth,HarperCollins,,
HarperOne,HarperCollins,,
Harperteen,HarperCollins,,
Harpervia,HarperCollins,,
Harriman House,Macmillan,,
Harry N. Abrams,Hachette-Abrams,,
Harvard University Press,Ingram,keepingram,
Harvest Books,HarperCollins,,
Harvest House Publishers,Ingram,keepingram,
Harvest Publications,HarperCollins,,
Hay House LLC,Ingram,keepingram,
Head of Zeus,Macmillan,,
Head of Zeus -- An Adastra Book,Macmillan,,
Headline,Hachette,,
Headpress,SCB,ingram,
Headshell,Simon & Schuster,,
Heathen Editions,Heathen Editions,noingram,
Heavy Metal Entertainment,Simon & Schuster,,
Hell's Hundred,Penguin Random House,,
Hendrickson Publishers,Ingram,keepingram,
Henry Holt & Company,Macmillan,,
Herald Press (VA),Ingram,keepingram,
Hermes Press,Diamond,,
Hesperus Press,IPG,,
Hierophant Publishing,Red Wheel/Weiser,,
High Frequency LLC,Ingram,keepingram,
High Road Books,Ingram,keepingram,
Hill & Wang,Macmillan,,
History Press,IPG,,
Hoaki,IPS,keepips,
Hodder & Stoughton,Hachette,,
Hodder Studio,Hachette,,
Hogarth Press,Penguin Random House,,
Holiday House,Penguin Random House,,
Hollywood Comics,Penguin Random House,,
Holman Bibles,Ingram,,
Holt McDougal,Macmillan,,
Holt Paperbacks,Macmillan,,
Houghton Mifflin,HarperCollins,,
House of the Macabre,Ingram,keepingram,
Howl Society Press LLC,Ingram,keepingram,
"Humanoids, Inc.",Simon & Schuster,,
Hurst & Co.,Ingram-PI,,
Hyperidean Press,Ingram,keepingram,
Hyperion Avenue,Penguin Random House,,
Hyperion Books for Children,Penguin Random House,,
Ian O'Hara,Ingram,keepingram,
Icon Books,PGW,,
ICS Publications,Ingram,keepingram,
IDW Publishing,Penguin Random House,,
Ignatius Press,Ingram,keepingram,
Illumify,Ingram,keepingram,
Image Comics,Simon & Schuster,,
Imprint,Ingram,keepingram,
Inanna Publications & Education,Ingram-PI,,
Indiana University Press,Ingram,keepingram,
Indigo River Publishing,Ingram,keepingram,
Infinity Road Publishing House,Ingram-PI,,
Inimitable Books,Simon & Schuster,,
Inklore,Penguin Random House,,
Inkyard Press,HarperCollins,,
Inner Traditions International,Ingram,keepingram,
Insight Comics,Simon & Schuster,,
Insight Editions,Simon & Schuster,,
Insight Kids,Simon & Schuster,,
Insights,Simon & Schuster,,
Irie Books,Ingram-PI,,
IT Books,Ingram,keepingram,
IVP,Ingram,keepingram,
IVP Academic,Ingram,keepingram,
Ivy Press,Ingram,keepingram,
Ize Press,Hachette,,
Jab Books,IPG,,
"Jabberwocky Literary Agency, Inc.",Ingram,keepingram,
Jacaranda Books,Ingram,keepingram,
Jackanapes Press,Ingram-PI,,
Jackleg Press,Ingram,keepingram,
Jayack Publishing,Ingram-PI,,
Jessica Kingsley Publishers,Ingram,keepingram,
Jimmy Patterson,Hachette,,
jnc,Ingram,keepingram,
Jocko Publishing,Ingram-PI,,
John Blake,IPG,,
Johns Hopkins University Press,Ingram,keepingram,
Joshua S Porter,Ingram-PI,,
JournalStone,Ingram,keepingram,
Joy Revolution,Penguin Random House,,
J-Stroke Productions,Ingram-PI,keepingram,
Kamera Books,IPG,,
Kana,Hachette-Abrams,,
Kant,DAP-Artbook or IPS,keepips,
Katalpa Press,Ingram,keepingram,
Katherine Tegen Books,HarperCollins,,
Katie Cord,Ingram-PI,,
Kensington Publishing Corporation,Penguin Random House,,
Kim Oakshott,Ingram-PI,,
Kinfolk,Simon & Schuster,,
Kingfisher,Macmillan,,
Knopf Publishing Group,Penguin Random House,,
Kodansha Comics,Penguin Random House,,
Kodansha USA Publishing LLC,Penguin Random House,,
Korero Press,IPG,keepingram,
Kregel Publications,Ingram,keepingram,
Lake Union Publishing,Amazon,,
Lamplight Universe,Ingram-PI,,
Lannoo Publishers,ACC Art Books,keepingram,
Lanternfish Press,Ingram,,
Last Gasp,SCB,,
Laura Thalassa,Ingram,keepingram,
Laurence King,Macmillan,,
Leaping Hare,Ingram,keepingram,
Leave It Better Books,Ingram,keepingram,
Legacy Lit,Hachette,,
Legendary Comics,Simon & Schuster,,
Legion Publishers,Ingram,keepingram,
Lengua Viva,Ingram,keepingram,
Lethe Press,Ingram,keepingram,
Lexham Press,Ingram,keepingram,
Library of America,Penguin Random House,,
Licensed Publishing,Penguin Random House,,
Light Technology Publications,Ingram,keepingram,
Like Magic Studio,Ingram-PI,,
Lil' Libros,Ingram,keepingram,
L'Il Nob Press,Ingram,keepingram,
Limit Zero Publications,Ingram,keepingram,
Literatura Random House,Penguin Random House,,
Literary Wanderlust,Ingram-PI,,
Little a,Ingram,keepingram,
Little Brown and Co. (UK),Hachette,,
Little Brown and Company,Hachette,,
Little Simon,Simon & Schuster,,
"Little, Brown Books for Young Readers",Hachette,,
"Little, Brown Spark",Hachette,,
Liveright Publishing Corporation,Norton,,
Lividian Publications,Ingram-PI,,
Living the Line,Diamond,ingram,
Llewellyn Publications,Ingram,keepingram,
Lom Art,IPG,,
Lonely Planet,Hachette,,
Lost Horse Press,Ingram,keepingram,
Loyola Press,Ingram,keepingram,
Lucid House Publishing LLC,Ingram,keepingram,
Lulu.com,Ingram-PI,,
Lund Humphries Publishers Ltd,IPG,keepingram,
Luz de Jesus,SCB,,
Lyons Press,Ingram,keepingram,
Ma Non Troppo,IPG,,
Macabre Ink,Ingram,keepingram,
MacMillan Collector's Library,Macmillan,,
Mad Cave Studios,Simon & Schuster,,
Madness Heart Press,Ingram,keepingram,
Madville Publishing LLC,Ingram,keepingram,
Magnetic Press,Diamond,ingram,
Mandala Publishing,Simon & Schuster,,
Mango Books,,,
Manta Press,Ingram,keepingram,
Margaret K. McElderry Books,Simon & Schuster,,
Marie Bilodeau,Ingram-PI,keepingram,
Mariner Books,HarperCollins,,
Mariner Books Classics,HarperCollins,,
Market Street Bridge Press,Ingram,keepingram,
Martian Migraine Press,Ingram,keepingram,
Marvel Illustrated,Penguin Random House,,
Marvel Universe,Penguin Random House,,
Massive Publishing,Simon & Schuster,,
McClelland & Stewart,Penguin Random House,,
MCD,Macmillan,,
McGill-Queen's University Press,Ingram,keepingram,
McNidder and Grace,Ingram,keepingram,
McSweeney's,Baker & Taylor Publisher Services,,
McGraw-Hill Companies,Ingram,keepingram,
Media Lab,Macmillan,,
Meerkat Press,IPG,,
Melville House Publishing,Penguin Random House,,
Mercer University Press,Ingram,keepingram,
Metropolitan Books,Macmillan,,
Metropolitan Museum of Art New York,Ingram,keepingram,
MFA Publications,IPS,keepips,
